,0
2004-08,0.007753
2004-09,0.007661
2004-10,0.007652
2004-11,0.007659
2004-12,0.007698
2005-01,0.007791
2005-02,0.007779
2005-03,0.00773
2005-04,0.007756
2005-05,0.007664
2005-06,0.007624
2005-07,0.007675
2005-08,0.007643
2005-09,0.007745
2005-10,0.007679
2005-11,0.007707
2005-12,0.007559
2006-01,0.007701
2006-02,0.007614
2006-03,0.007722
2006-04,0.007676
2006-05,0.007681
2006-06,0.007822
2006-07,0.007636
2006-08,0.007604
2006-09,0.007553
2006-10,0.007581
2006-11,0.007615
2006-12,0.007701
2007-01,0.007728
2007-02,0.007737
2007-03,0.007816
2007-04,0.007691
2007-05,0.007637
2007-06,0.007763
2007-07,0.007874
2007-08,0.007789
2007-09,0.007687
2007-10,0.007692
2007-11,0.007763
2007-12,0.007808
2008-01,0.007656
2008-02,0.007251
2008-03,0.007092
2008-04,0.007253
2008-05,0.007721
2008-06,0.007469
2008-07,0.006609
2008-08,0.007064
2008-09,0.007261
2008-10,0.006562
2008-11,0.001474
2008-12,0.003116
2009-01,0.006661
2009-02,0.00219
2009-03,-0.000223
2009-04,0.010016
2009-05,0.010882
2009-06,0.008903
2009-07,0.005946
2009-08,0.01048
2009-09,0.008003
2009-10,0.008362
2009-11,0.00501
2009-12,0.009735
2010-01,0.007247
2010-02,0.004172
2010-03,0.008098
2010-04,0.009756
2010-05,0.007155
2010-06,0.001562
2010-07,0.003089
2010-08,0.010572
2010-09,0.003409
2010-10,0.010843
2010-11,0.008129
2010-12,0.006248
2011-01,0.009885
2011-02,0.007587
2011-03,0.008246
2011-04,0.006492
2011-05,0.008138
2011-06,0.005877
2011-07,0.005685
2011-08,0.005454
2011-09,0.003397
2011-10,0.002187
2011-11,0.012064
2011-12,0.005938
2012-01,0.006884
2012-02,0.008611
2012-03,0.008489
2012-04,0.008101
2012-05,0.006139
2012-06,0.003503
2012-07,0.008607
2012-08,0.007052
2012-09,0.007504
2012-10,0.007739
2012-11,0.005627
2012-12,0.006727
