,0
2005-08,0.006436
2005-09,0.007534
2005-10,0.004846
2005-11,0.008997
2005-12,0.006239
2006-01,0.009362
2006-02,0.004024
2006-03,0.009693
2006-04,0.0068
2006-05,0.009646
2006-06,0.004027
2006-07,0.008742
2006-08,0.007818
2006-09,0.007563
2006-10,0.007289
2006-11,0.006733
2006-12,0.006958
2007-01,0.005928
2007-02,0.00678
2007-03,0.006483
2007-04,0.006351
2007-05,0.008829
2007-06,0.004171
2007-07,0.006527
2007-08,0.006184
2007-09,0.008352
2007-10,0.006652
2007-11,0.006819
2007-12,0.005656
2008-01,0.00616
2008-02,0.010012
2008-03,0.00626
2008-04,0.010342
2008-05,0.006946
2008-06,0.010341
2008-07,0.005299
2008-08,0.008688
2008-09,0.009916
2008-10,0.005045
2008-11,0.005427
2008-12,0.003464
2009-01,0.004845
2009-02,0.005044
2009-03,-0.004966
2009-04,-0.013828
2009-05,0.011512
2009-06,0.005542
2009-07,0.009497
2009-08,0.002041
2009-09,0.012993
2009-10,0.00341
2009-11,0.01181
2009-12,0.001298
2010-01,0.013499
2010-02,0.00207
2010-03,0.007471
2010-04,0.006775
2010-05,0.00964
2010-06,0.00483
2010-07,0.001394
2010-08,0.004999
2010-09,0.010709
2010-10,-0.000796
2010-11,0.015916
2010-12,0.003955
2011-01,0.004738
2011-02,0.006509
2011-03,0.007278
2011-04,0.007083
2011-05,0.005427
2011-06,0.008709
2011-07,0.003606
2011-08,0.007169
2011-09,0.003872
2011-10,0.003777
2011-11,0.001429
2011-12,0.014967
2012-01,-0.001206
2012-02,0.012234
2012-03,0.003631
2012-04,0.006378
2012-05,0.006952
2012-06,0.007532
2012-07,0.0017
2012-08,0.011872
2012-09,0.002391
2012-10,0.01017
2012-11,0.004419
2012-12,0.00637
2013-01,0.006185
2013-02,0.006557
2013-03,0.008824
2013-04,0.004733
2013-05,0.009511
2013-06,0.004826
2013-07,0.008769
2013-08,0.003537
2013-09,0.011393
2013-10,0.000727
2013-11,0.011119
2013-12,0.00402
